FIPS,CTYNAME,abbrv,state,county,ID,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47009,Blount County,TN,TN,Blount,218,0.721,0.233,51849,37385,12085,0.712,0.269,66306,47195,17834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27013,Blue Earth County,MN,MN,Blue Earth,219,0.471,0.434,33256,15667,14428,0.465,0.51,35969,16731,18330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16015,Boise County,ID,ID,Boise,220,0.701,0.204,3812,2673,777,0.722,0.251,4840,3495,1214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28011,Bolivar County,MS,MS,Bolivar,221,0.331,0.655,12831,4251,8410,0.366,0.619,11631,4260,7203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29017,Bollinger County,MO,MO,Bollinger,222,0.851,0.124,5669,4827,705,0.863,0.125,5981,5162,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46009,Bon Homme County,SD,SD,Bon Homme,223,0.708,0.237,2974,2105,704,0.745,0.24,3001,2235,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17005,Bond County,IL,IL,Bond,224,0.655,0.277,7462,4884,2066,0.692,0.281,8109,5612,2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16017,Bonner County,ID,ID,Bonner,225,0.608,0.306,16815,10220,5140,0.672,0.304,27352,18369,8310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16019,Bonneville County,ID,ID,Bonneville,226,0.604,0.202,44212,26699,8930,0.7,0.264,53995,37805,14254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5009,Boone County,AR,AR,Boone,227,0.759,0.182,16098,12225,2925,0.798,0.179,17103,13644,3061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
